nct,title,status,start_date,why,phase,enrollment,sponsor,sponsor_class,conditions,interventions,fetched_date,precision_medicine_match,in_study_halted_set
NCT06939816,Vonafexor in Patients With Impaired Renal Function and Suspected MASH (Metabolic Dysfunction-associated Steatohepatitis),TERMINATED,2025-07-01,Pilot cohort (n=10) yielded useful insights but data remains exploratory due to limited sample size. Study stopped due to strategic reprioritization.,PHASE2,10,Enyo Pharma,INDUSTRY,Chronic Kidney Disease Stage 2|Chronic Kidney Disease Stage 3|Metabolic Dysfunction-Associated Steatohepatitis,Vonafexor low dose|Vonafexor high dose,2026-09-07,False,False
NCT04203901,Dendritic Cell Immunotherapy Plus Standard Treatment of Advanced Renal Cell Carcinoma,TERMINATED,2020-07-22,Strategic corporate decision,PHASE2,16,CoImmune,INDUSTRY,Advanced Renal Cell Carcinoma,CMN-001|Nivolumab+Ipilimumab|Lenvatinib+Everolimus,2026-09-07,False,False
NCT03393481,Prevention of Thromboembolic Events in Total Knee Replacement Patients,WITHDRAWN,2018-10-03,Trial cancelled before First Patient First Visit (no patient enrolled),PHASE2,0,Novartis Pharmaceuticals,INDUSTRY,Thrombotic Disorders,MAA868|Enoxaparin,2026-09-07,False,False
NCT04004065,"Two-Part Study for Dose Determination of Vesleteplirsen (SRP-5051) (Part A), Then Dose Expansion (Part B) in Participants With Duchenne Muscular Dystrophy Amenable to Exon 51-Skipping Treatment",TERMINATED,2019-06-26,The study was terminated following review of safety data.,PHASE2,62,"Sarepta Therapeutics, Inc.",INDUSTRY,Duchenne Muscular Dystrophy,Vesleteplirsen,2026-09-07,False,False
NCT04171700,A Study to Evaluate Rucaparib in Participants With Solid Tumors and With Deleterious Mutations in HRR Genes,TERMINATED,2020-01-16,The study was terminated due to a change in development priorities.,PHASE2,83,pharmaand GmbH,INDUSTRY,Solid Tumor,Rucaparib,2026-09-07,False,False
NCT05940844,Study of OB-002 in Patients With Refractory Metastatic Cancer,WITHDRAWN,2024-01,study terminated due to changes in the drug development plan,PHASE1,0,Orion Biotechnology Polska Sp. z o.o.,INDUSTRY,Metastatic Cancer|Metastatic Colorectal Cancer|Metastatic Pancreatic Cancer|Metastatic Gastric Cancer|Metastatic Breast Cancer|Metastatic Urothelial Carcinoma,OB-002,2026-09-07,False,False
NCT03156127,A Study to Compare the Pharmacokinetics and Safety/Tolerability of BR-UPS (Ulipristal Acetate) 5 mg Tablet With Inisia (Ulipristal Acetate) 5 mg Tablet,WITHDRAWN,2017-05-19,Problem of Investigational Products,PHASE1,0,"Boryung Pharmaceutical Co., Ltd",INDUSTRY,Uterine Myoma,"BR-UPS 5 mg tablet, Inisia 5 mg tablet",2026-09-07,False,False
NCT04083651,A Study of Methylnaltrexone Bromide (MNTX) in Participants With Advanced Pancreatic Cancer,WITHDRAWN,2020-01-06,Due to pandemic challenges and consideration of a different study design in the future.,PHASE2|PHASE3,0,"Bausch Health Americas, Inc.",INDUSTRY,Pancreatic Cancer,Methylnaltrexone bromide|Placebo,2026-09-07,False,False
NCT05392751,Dose Escalation Study to Evaluate the Safety/Tolerability and Efficacy of EA-2353 in Subjects With Retinitis Pigmentosa,TERMINATED,2022-06-02,Study terminated by the Sponsor. All study participants completed at least 12 months of safety follow-up instead of 24 mo. The reason for earlier termination was due to a corporate decision; not any safety concerns of EA-2353.,PHASE1|PHASE2,14,"Endogena Therapeutics, Inc",INDUSTRY,Retinitis Pigmentosa|Retinitis Pigmentosa Syndrome,EA-2353,2026-09-07,False,False
NCT03251924,A Dose Escalation and Combination Immunotherapy Study to Evaluate BMS-986226 Alone or in Combination With Nivolumab or Ipilimumab in Patients With Advanced Solid Tumors,TERMINATED,2017-09-01,Study CA021-002 was terminated because the Sponsor discontinued further development of BMS-986226 due to a change in business objectives. The decision for the study closure was not related to any safety concerns associated with BMS-986226.,PHASE1|PHASE2,80,Bristol-Myers Squibb,INDUSTRY,Cancer|Tumors|Neoplasm|Malignancy,BMS-986226|Nivolumab|Ipilimumab|Tetanus Vaccine,2026-09-07,False,False
NCT03065959,A Study to Assess the Anti-fatigability Effect of CK-2127107 in Elderly Male and Female Subjects With Limitations in Mobility,TERMINATED,2017-06-28,Lack of efficacy determined at interim analysis,PHASE1,42,"Astellas Pharma Global Development, Inc.",INDUSTRY,Mobility Limitation,reldesemtiv|Placebo,2026-09-07,False,False
NCT05532046,"A Study to Learn How Safe Study Drug BAY2413555 is, How it Affects the Body, and How it Moves Into, Through, and Out of the Body Over 4 Weeks of Use in Participants With Heart Failure and Implanted Cardiac Defibrillator or Cardiac Resynchronization Devices (ICD/CRT)",TERMINATED,2022-09-20,Due to new preclinical findings in a chronic toxicology study.,PHASE1,22,Bayer,INDUSTRY,Chronic Heart Failure,BAY2413555 Dose 1|BAY2413555 Dose 2|Placebo to BAY2413555,2026-09-07,False,False
NCT02625922,Study of the Effect of Serelaxin on High-sensitivity Cardiac Troponin I (Hs-cTnI) Release in Patients With Chronic Heart Failure,TERMINATED,2016-02-05,"In view of outcome of RELAX-AHF-2 trial, the entire RLX030A project was decided to be terminated.",PHASE2,26,Novartis Pharmaceuticals,INDUSTRY,Chronic Heart Failure,Serelaxin|Placebo,2026-09-07,False,False
NCT05846659,Study of PULSAR-ICI +/- IMSA101 in Patients With Oligoprogressive Solid Tumor Malignancies,TERMINATED,2023-07-07,Change in ImmuneSensor corporate strategy,PHASE2,16,ImmuneSensor Therapeutics Inc.,INDUSTRY,Oligoprogressive,IMSA101|Immune checkpoint inhibitor|PULSAR,2026-09-07,False,False
NCT04555096,A Trial of GC4419 in Patients With Critical Illness Due to COVID-19,TERMINATED,2020-09-09,Participants are no longer receiving intervention,PHASE2,16,"Galera Therapeutics, Inc.",INDUSTRY,Covid19|SARS-CoV-2 Infection,GC4419|Placebo,2026-09-07,False,False
NCT06840769,A Clinical Trial to Assess Safety and Pharmacokinetics of Fosnetupitant 235 mg and Metabolites in Healthy Volunteers,TERMINATED,2023-06-17,Sponsor's decision,PHASE1,50,Helsinn Healthcare SA,INDUSTRY,Healthy Volunteers,Fosnetupitant 235 mg solution|Akynzeo solution,2026-09-07,False,False
NCT04480879,Evaluation of AZD8154 Concentrations in Blood,TERMINATED,2020-07-17,Need for evaluation of emerging pre-clinical toxicology findings,PHASE1,10,AstraZeneca,INDUSTRY,Asthma,AZD8154 nebuliser|AZD8154 Monodose DPI presented in capsules|AZD8154 Placebo Monodose DPI presented in capsules,2026-09-07,False,False
NCT05698888,"Study of VP301 in Patients With Multiple Myeloma, Lymphoma, or Solid Tumors",TERMINATED,2022-11-29,Sponsor Decision,PHASE1,2,"Virtuoso BINco, Inc.",INDUSTRY,"Solid Tumors, Adult|Multiple Myeloma|Lymphoma",VP301,2026-09-07,False,False
NCT04607642,Trial of BMX-001 or Placebo in Head and Neck Cancer Patients,WITHDRAWN,2021-07,Will be conducted as a different study with different sponsorship,PHASE2,0,"BioMimetix JV, LLC",INDUSTRY,Head and Neck Cancer,BMX-001|Radiation Therapy|Cisplatin|Placebo,2026-09-07,False,False
NCT04808570,A Study of TQ-B3525 in Subjects With Relapsed/Refractory Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,TERMINATED,2021-06-05,The sponsor terminated the study due to the R\&D strategy change.,PHASE1|PHASE2,23,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",INDUSTRY,Relapsed/Refractory Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,TQ-B3525 tablets,2026-09-07,False,False
NCT04811573,A Study in Healthy People to Compare 3 Different Formulations of Apremilast Tablets Taken With or Without Food,TERMINATED,2021-03-31,due to company decision,PHASE1,20,Boehringer Ingelheim,INDUSTRY,Healthy,EU-sourced Otezla®|US-sourced Otezla®|Japan-sourced Otezla®,2026-09-07,False,False
NCT03254927,A Study of CDX-3379 and Cetuximab and in Patients With Advanced Head and Neck Squamous Cell Carcinoma,TERMINATED,2018-03-27,Sponsor decision based on emerging risk-benefit profile,PHASE2,30,Celldex Therapeutics,INDUSTRY,Advanced Head and Neck Squamous Cell Carcinoma,CDX-3379 and cetuximab,2026-09-07,False,False
NCT02261883,Remodulin as Add-on Therapy for the Treatment of Persistent Pulmonary Hypertension of the Newborn,TERMINATED,2015-07-29,Sponsor Decision,PHASE2,42,United Therapeutics,INDUSTRY,Persistent Pulmonary Hypertension of the Newborn,IV Remodulin|Placebo,2026-09-07,False,False
NCT01520805,Safety and Effectiveness Study of CPI-613 to Treat Refractory or Relapsed Leukemia and Myelodysplastic Syndrome,WITHDRAWN,2016-01,,PHASE2,0,Cornerstone Pharmaceuticals,INDUSTRY,Acute Myeloid Leukemia (AML)|Myelodysplastic Syndrome (MDS),CPI-613,2026-09-07,False,False
