nct,title,status,start_date,why,phase,enrollment,sponsor,sponsor_class,conditions,interventions,fetched_date,precision_medicine_match,in_study_halted_set
NCT05451849,A Phase 1/2 Trial of TC-510 In Patients With Advanced Mesothelin-Expressing Cancer,TERMINATED,2022-06-21,No participants were enrolled in Phase 2 as Phase I was terminated early due to the lack of a clear signal of robust clinical activity.,PHASE1|PHASE2,14,TCR2 Therapeutics,INDUSTRY,"Mesothelioma|Mesotheliomas Pleural|Mesothelioma, Malignant|Mesothelioma Peritoneum|Ovarian Cancer|Ovarian Serous Adenocarcinoma|Pancreatic Cancer|Pancreatic Adenocarcinoma|Colorectal Cancer|Triple Negative Breast Cancer|TNBC - Triple-Negative Breast Cancer|Ovarian Adenocarcinoma|Pancreatic Neoplasms|Colorectal Neoplasms|Ovarian Neoplasms|Cholangiocarcinoma|Non Small Cell Lung Cancer",TC-510|Fludarabine|Cyclophosphamide,2026-09-07,False,False
NCT03834584,A Study of AG-636 in the Treatment of Subjects With Advanced Lymphoma,TERMINATED,2019-05-24,Terminated due to sponsor decision.,PHASE1,11,"Agios Pharmaceuticals, Inc.",INDUSTRY,Lymphoma,AG-636,2026-09-07,False,False
NCT05346484,"A Study of CF33-hNIS (VAXINIA), an Oncolytic Virus, as Monotherapy or in Combination With Pembrolizumab in Adults With Metastatic or Advanced Solid Tumors",TERMINATED,2022-05-17,Portfolio prioritization,PHASE1,66,Imugene Limited,INDUSTRY,"Solid Tumor|Solid Carcinoma|Solid Tumor, Adult|Metastatic Cancer|Advanced Solid Tumor|Cholangiocarcinoma|Bile Duct Cancer",CF33-hNIS|Pembrolizumab|Modified FOLFOX,2026-09-07,False,False
NCT04032704,A Study of Ladiratuzumab Vedotin in Advanced Solid Tumors,TERMINATED,2019-10-09,Study closed due to portfolio prioritization,PHASE2,205,Seagen Inc.,INDUSTRY,"Small Cell Lung Cancer|Non-small Cell Lung Cancer, Squamous|Non-small Cell Lung Cancer, Non-squamous|Head and Neck Squamous Cell Carcinoma|Esophageal Squamous Cell Carcinoma|Gastric Adenocarcinoma|Gastroesophageal Junction Adenocarcinoma|Prostate Cancer|Melanoma",ladiratuzumab vedotin|pembrolizumab,2026-09-07,False,False
NCT03627052,A Study to Evaluate the Safety and Efficacy of Itacitinib in Moderate to Severe Ulcerative Colitis,WITHDRAWN,2018-09-20,Study withdrawn due to lack of recruitment. No patients enrolled. No safety concerns.,PHASE2,0,Incyte Corporation,INDUSTRY,Moderate to Severe Ulcerative Colitis,Itacitinib|Placebo,2026-09-07,False,False
NCT02657447,Dosimetry Study of Betalutin for Treatment of Relapsed Non-Hodgkin Lymphoma (LYMRIT-37-02),WITHDRAWN,2017-12-19,Study is no longer relevant,PHASE1,0,Nordic Nanovector,INDUSTRY,Non-Hodgkin Lymphoma,Betalutin with lilotomab dose 1|Betalutin with lilotomab dose 2,2026-09-07,False,False
NCT04240158,IW-6463 Safety Study in Healthy Elderly Subjects,TERMINATED,2020-01-06,Some subjects could not complete the second crossover period due to COVID-19-related site closure. The study was closed to allow analysis of all collected data.,PHASE1,24,Tisento Therapeutics,INDUSTRY,Other,IW-6463|Matching Placebo,2026-09-07,False,False
NCT05115838,Radiopaque Matrix MK-8591 Implant in Participants at Low-Risk for Human Immunodeficiency Virus Type 1 (HIV-1) Infection (MK-8591-043),WITHDRAWN,2024-01-04,Business Reasons,PHASE2,0,Merck Sharp & Dohme LLC,INDUSTRY,Human Immunodeficiency Virus|HIV,Islatravir|Placebo,2026-09-07,False,False
NCT03359733,A Study to Evaluate the Effect of Food on the Pharmacokinetics (PK) of TAK-659 in Participants With Advanced Solid Tumor,WITHDRAWN,2018-02-28,Business decision: no safety or efficacy concerns,PHASE1,0,"Calithera Biosciences, Inc",INDUSTRY,"Lymphoma, Malignant|Advanced Solid Neoplasms",TAK-659,2026-09-07,False,False
NCT03773133,"Evaluate the Safety, Tolerability, Biodistribution and Anti Tumour Activity of 177LU-OPS201 With Companion Imaging 68Ga-OPS202 PET/CT in Previously Treated Subjects With Locally Advanced or Metastatic Cancers Expressing Somatostatin Receptor 2 (SSTR2)",TERMINATED,2019-05-14,High number of screen failures,PHASE1|PHASE2,9,Ipsen,INDUSTRY,Small Cell Lung Cancer and Breast Cancer,Satoreotide tetraxetan|Satoreotide trizoxetan,2026-09-07,False,False
NCT02398604,Allogeneic hMSC Injection in Patients With Hypoplastic Left Heart Syndrome,TERMINATED,2015-04,Study was closed due to Sponsor switched to Longeveron. New Identifier is NTC03525418,PHASE1,5,Longeveron Inc.,INDUSTRY,Hypoplastic Left Heart Syndrome,Allo-hMSCs|Placebo,2026-09-07,False,False
NCT02939846,Pharmacokinetics of Single and Repeat Oral Doses of Trametinib in Chinese Subjects With Solid Tumours,WITHDRAWN,2017-05,Change in strategy,PHASE1,0,GlaxoSmithKline,INDUSTRY,Cancer,Trametinib,2026-09-07,False,False
NCT02664961,Study of TRC105 and Bevacizumab in Patients With Refractory Gestational Trophoblastic Neoplasia (GTN),TERMINATED,2016-03,"Rare tumor type, patients eligible via expanded access.",PHASE2,3,Tracon Pharmaceuticals Inc.,INDUSTRY,Gestational Trophoblastic Neoplasia|Choriocarcinoma|Placental Site Trophoblastic Tumor|Epithelioid Trophoblastic Tumor,TRC105|Bevacizumab,2026-09-07,False,False
NCT04053543,CXA-10 Study in Subjects With Pulmonary Arterial Hypertension,TERMINATED,2019-08-09,LOE,PHASE2,33,"Complexa, Inc.",INDUSTRY,PAH,CXA-10,2026-09-07,False,False
NCT05245916,IBI397 or Combination Therapies in Patients With Advanced Malignancies,WITHDRAWN,2022-04-14,Due to the company's development strategy adjustment,PHASE1,0,Innovent Biologics (Suzhou) Co. Ltd.,INDUSTRY,Advanced Malignancies,IBI397|IBI397+Sintilimab|IBI397+Rituximab,2026-09-07,False,False
NCT03416816,A Study of DSP-0337 in Patients With Advanced Solid Tumors to Determine the Safety and the Pharmacokinetic Profile,TERMINATED,2018-05-15,Alternate development strategy,PHASE1,23,"Sumitomo Pharma America, Inc.",INDUSTRY,Neoplasms,DSP-0337,2026-09-07,False,False
NCT04504435,"Safety, Tolerability and Pharmacokinetics (PK) Investigation of GSK3494245 in Healthy Participants",TERMINATED,2020-09-29,Further development of GSK3494245 has been halted based on assessment of clinical data indicating that predicted efficacious doses cannot be achieved in line with dosing requirements outlined in the target product profile for the proposed indication.,PHASE1,59,GlaxoSmithKline,INDUSTRY,Leishmaniasis,GSK3494245|Placebo,2026-09-07,False,False
NCT05191004,Study of NUV-422 in Combination With Fulvestrant in Patients With HR+HER2- aBC,WITHDRAWN,2022-09,Sponsor decision,PHASE1|PHASE2,0,Nuvation Bio Inc.,INDUSTRY,Advanced Breast Cancer|Metastatic Breast Cancer|Breast Cancer|Breast Carcinoma|Cancer of the Breast|Cancer of Breast|Malignant Tumor of Breast|Breast Tumor,NUV-422|Fulvestrant,2026-09-07,False,False
NCT04761705,Safety and Efficacy Study of JV-GL1 in Patients With Open-Angle Glaucoma or Ocular Hypertension,SUSPENDED,2021-03-10,Awaiting transition to Part 2,PHASE1|PHASE2,70,"JeniVision, Inc.",INDUSTRY,Ocular Hypertension|Open Angle Glaucoma,JV-GL1|Latanoprost 0.005% Ophthalmic Solution,2026-09-07,False,False
NCT03868566,"An Open-Label Study to Assess the Hepatic Protection Effect of SNP-612, in Patients With NAFLD",TERMINATED,2017-08-04,recruitment difficulties due to Covid-19,PHASE2,90,Sinew Pharma Inc.,INDUSTRY,NASH - Nonalcoholic Steatohepatitis,SNP-612 dose1|SNP-612 dose2,2026-09-07,False,False
NCT03648372,A Study of TAK-981 in People With Advanced Solid Tumors or Cancers in the Immune System,TERMINATED,2018-10-01,Enrolment Challenges,PHASE1|PHASE2,109,Takeda,INDUSTRY,Neoplasms|Lymphoma|Hematologic Neoplasms,TAK-981,2026-09-07,False,True
NCT04608812,Convection-enhanced Delivery of OS2966 for Patients With High-grade Glioma Undergoing a Surgical Resection,TERMINATED,2021-03-02,Slow enrollment and financial constraints.,PHASE1,7,"OncoSynergy, Inc.",INDUSTRY,"Glioma, Malignant|High Grade Glioma|Glioblastoma|Glioblastoma Multiforme|Anaplastic Astrocytoma",OS2966|Gadoteridol,2026-09-07,False,False
NCT02780830,AZD2014 Plus Novel Anti-Cancer Agents in Relapsed or Refractory Diffuse Large B-Cell Lymphoma,WITHDRAWN,2016-06,Study D2276C00001 was not started. No patients were enrolled. The sponsor decided to pursue an alternate design.,PHASE1,0,AstraZeneca,INDUSTRY,Core: Relapsed or Refractory Diffuse Large B-Cell Lymphoma|Module 1: Non-GCB Diffuse Large B-Cell Lymphoma,AZD2014|Ibrutinib,2026-09-07,False,False
NCT02964507,Dose Escalation and Expansion Study of GSK525762 in Combination With Fulvestrant in Participants With Hormone Receptor-positive (HR+)/Human Epidermal Growth Factor Receptor 2 Negative (HER2-) Advanced or Metastatic Breast Cancer,TERMINATED,2019-09-26,This study has been terminated due to meeting protocol defined futility.,PHASE1,124,GlaxoSmithKline,INDUSTRY,Neoplasms,GSK525762|Placebo|Fulvestrant,2026-09-07,False,False
NCT02954653,"A Study Of PF-06747143, As Single Agent Or In Combination With Standard Chemotherapy In Adult Patients With Acute Myeloid Leukemia",TERMINATED,2016-11-28,The study was terminated due to a change in sponsor prioritization.,PHASE1,8,Pfizer,INDUSTRY,Acute Myeloid Leukemia,PF-06747143|Cytarabine|Daunorubicin|Azacitidine|Decitabine,2026-09-07,False,False
NCT03883945,A Safety and Efficacy Study to Evaluate Rosacea,WITHDRAWN,2021-07,Sponsor deprioritization,PHASE1|PHASE2,0,"AiViva BioPharma, Inc.",INDUSTRY,Papulopustular Rosacea,AIV001|Vehicle,2026-09-07,False,False
NCT03629275,Investigation of Neural Stem Cells in Ischemic Stroke,TERMINATED,2018-08-31,Strategic decision to progress stroke disability programme through regional partnerships,PHASE2,15,ReNeuron Limited,INDUSTRY,Ischemic Stroke|Chronic Stroke|Hemiparesis|Arm Paralysis,CTX0E03 Drug Product and delivery device|Placebo,2026-09-07,False,False
NCT04900428,Study to Evaluate a Single Intranasal Dose of STI-2099 (COVI-DROPS™) in Outpatient Adults With COVID-19 (UK),TERMINATED,2021-07-16,Study was terminated at interim analysis due to drops not working on new variants,PHASE2,179,"Sorrento Therapeutics, Inc.",INDUSTRY,Covid19,COVI-DROPS|Placebo,2026-09-07,False,False
NCT03996473,Study to Test the Safety and How Radium-223 Dichloride an Alpha Particle-emitting Radioactive Agent Works in Combination With Pembrolizumab an Immune Checkpoint Inhibitor in Patients With Stage IV Non-small Cell Lung Cancer With Bone Metastases,TERMINATED,2020-03-06,LPLV reached on 30Jan2023. Study was closed early for feasibility reasons related to enrollment of first line IO naïve patients. Safety data is consistent with the known safety profile of both drugs and no new safety issues have been observed,PHASE1,8,Bayer,INDUSTRY,"Carcinoma, Non-Small-Cell Lung","Radium-223 dichloride (Xofigo, BAY 88-8223)|Pembrolizumab",2026-09-07,False,False
NCT03052972,Flortaucipir 18F PET Imaging in BIOCARD Study,TERMINATED,2017-03-23,study terminated due to lower than expected enrollment,PHASE1,23,Avid Radiopharmaceuticals,INDUSTRY,Cognitive Decline,Flortaucipir F18|Brain PET scan,2026-09-07,False,False
NCT04104919,Study to Evaluate a Preop Dose of Brivoligide Injection for Pain After Mastectomy in Patients With High PCS Scores,WITHDRAWN,2021-01,Study Initiation delayed due to COVID 19,PHASE2,0,"Adynxx, Inc.",INDUSTRY,"Pain, Postoperative",Brivoligide Injection 660 mg/6 mL|Placebo 6 mL,2026-09-07,False,False
NCT05062577,A Study to Assess the Safety and Efficacy of ASP8062 as an Add-on Therapy to Buprenorphine/Naloxone in Participants With Opioid Use Disorder,WITHDRAWN,2021-11-08,Due to corporate strategic considerations,PHASE2,0,"Astellas Pharma Global Development, Inc.",INDUSTRY,Opioid Use Disorder,ASP8062|Placebo ASP8062|buprenorphine/naloxone,2026-09-07,False,False
NCT04855565,ALY688-SR in Generally Healthy Overweight or Obese Adults,TERMINATED,2021-05-19,Inability to recruit due to COVID-19 pandemic restrictions,PHASE1,8,Allysta Pharmaceutical,INDUSTRY,Overweight and Obesity,ALY688-SR,2026-09-07,False,False
NCT05609045,"A Phase 1, Randomised, Double-blinded, Placebo-controlled, Dose-escalation Study to Evaluate the Safety and Immunogenicity of RH109 as Booster",WITHDRAWN,2023-06,business strategy adjustment,PHASE1,0,"Wuhan Rhegen Biotechnology Co., Ltd.",INDUSTRY,COVID-19 Pandemic,Lyophilized COVID-19 mRNA Vaccine|Sodium chloride,2026-09-07,True,False
NCT04101357,"Safety, Pharmacokinetics, Pharmacodynamics, and Preliminary Efficacy Trial of BNT411",TERMINATED,2020-06-19,Sponsor decision,PHASE1|PHASE2,54,BioNTech SE,INDUSTRY,Solid Tumor|Extensive-stage Small Cell Lung Cancer,BNT411|Atezolizumab|Carboplatin|Etoposide,2026-09-07,False,False
NCT02024581,A Trial of a Botanical Drug Containing East Indian Sandalwood Oil (EISO) for the Treatment of Molluscum Contagiosum,TERMINATED,2016-02,Sponsor chose to close,PHASE2,27,ViroXis Corporation,INDUSTRY,Molluscum Contagiosum,10% East Indian sandalwood oil cream|Placebo Cream,2026-09-07,False,False
NCT02723786,"Efficacy, Safety, Tolerability and Pharmacokinetic (PK) Study of GSK1070806 for the Prevention of Delayed Graft Function (DGF) in Adult Subjects After Renal Transplantation",TERMINATED,2016-08-27,Lack of efficacy,PHASE2,7,GlaxoSmithKline,INDUSTRY,Kidney Transplantation (Status Post),GSK1070806|1) basiliximab 2) mycophenolate mofetil (MMF) OR azathioprine 3) tacrolimus 4) corticosteroids,2026-09-07,False,False
NCT05592912,Safety and Efficacy of HydroLenz for Vitrectomy-Induced Lens Opacities,WITHDRAWN,2024-01-01,Funding Limitations,PHASE1,0,"PromiSight, LLC",INDUSTRY,Pars Plana Vitrectomy,HydroLenz Injection|No HydroLenz Injection,2026-09-07,False,False
NCT03447730,"Safety, Tolerability and Pharmacodynamics of SYNB1020",TERMINATED,2018-03-19,Interim futility analyses identified a lack of SYNB1020 efficacy.,PHASE1|PHASE2,23,Synlogic,INDUSTRY,Cirrhosis,SYNB1020|Placebo,2026-09-07,False,False
NCT02927080,Study of ACE-083 in Patients With Facioscapulohumeral Muscular Dystrophy (FSHD),TERMINATED,2016-11,Study was discontinued as it did not achieve functional secondary endpoints.,PHASE2,95,"Acceleron Pharma, Inc., a wholly-owned subsidiary of Merck & Co., Inc., Rahway, NJ USA",INDUSTRY,Facioscapulohumeral Muscular Dystrophy,ACE-083|ACE-083 or placebo,2026-09-07,False,False
NCT02467569,Study Evaluating Hemay020 In Subjects With Advanced Solid Cancer,TERMINATED,2015-07-03,,PHASE1,10,"Tianjin Hemay Pharmaceutical Co., Ltd",INDUSTRY,Neoplasms，Non-Small Cell Lung Cancer,Hemay020,2026-09-07,False,False
NCT03037645,"Safety, PK, PD, and Antitumor Activity of Vecabrutinib (SNS-062) in B Lymphoid Cancers",TERMINATED,2017-04-28,"Phase 1b portion completed. Sponsor decided not to proceed with P2 portion of study. Vecabrutinib was very well tolerated, there was insufficient evidence of activity at the doses tested in the Phase 1b to advance to Phase 2.",PHASE1|PHASE2,39,Sunesis Pharmaceuticals,INDUSTRY,Chronic Lymphocytic Leukemia|Small Lymphocytic Lymphoma|Lymphoplasmacytoid Lymphoma|Mantle-Cell Lymphoma|Waldenstrom Macroglobulinemia|Diffuse Large B Cell Lymphoma|Follicular Lymphoma|Marginal Zone Lymphoma,SNS-062,2026-09-07,False,False
NCT05371275,"Phase II Safety Single-arm Study of CDK4/6 Inhibition With Palbociclib in Hospitalized, Moderate COVID-19 Cases to Prevent Thromboinflammation",WITHDRAWN,2022-04-21,Study was withdrawn due to challenges in patient enrollment,PHASE2,0,biotx.ai GmbH,INDUSTRY,COVID-19,Palbociclib,2026-09-07,False,False
NCT02633657,A PK and Safety Evaluation of HORIZANT (Gabapentin Enacarbil) in Adolescents With Moderate-to-Severe Primary RLS,WITHDRAWN,2016-01,lack of enrollment,PHASE1,0,"XenoPort, Inc.",INDUSTRY,RLS,HORIZANT 300 mg,2026-09-07,False,False
NCT03355300,Long-Term Safety of Pharmaceutical Grade Synthetic Cannabidiol Oral Solution in Pediatric Participants With Treatment-Resistant Childhood Absence Seizures,TERMINATED,2018-02-20,Insys Therapeutics filed Chapter 11 and terminated all studies.,PHASE2,11,"Radius Pharmaceuticals, Inc.",INDUSTRY,Childhood Absence Epilepsy,Cannabidiol Oral Solution,2026-09-07,False,False
NCT04729088,Pharmacokinetics Trial of Isosorbide Mononitrate 0.5% Gel for Intra Anal Application in Healthy Subjects,WITHDRAWN,2020-12-20,The sponsor will no longer develop the experimental drug.,PHASE1,0,Biolab Sanus Farmaceutica,INDUSTRY,Pharmacokinetics|Healthy Subjects,Isosorbide mononitrate,2026-09-07,False,False
NCT04569227,Prevention of COVID-19 Infection to Severe Pneumonia or ARDS,WITHDRAWN,2021-04-30,Study was never conducted,PHASE2,0,Enzychem Lifesciences Corporation,INDUSTRY,Covid19 Pneumonia,EC-18|Placebo,2026-09-07,False,False
NCT02807961,"Safety, Tolerability, Pharmacokinetics of ELX-02 in Healthy Adult Volunteers",TERMINATED,2016-07,"Transferred study to Antwerp, Belgium",PHASE1,42,"Eloxx Pharmaceuticals, Inc.",INDUSTRY,Genetic Diseases|Nonsense Mutations,ELX-02|Placebo,2026-09-07,False,False
NCT04643886,A Multiple Dose Study of Repeat Intravitreal Injections of GEM103 in Dry Age-related Macular Degeneration,TERMINATED,2020-07-30,no further benefit,PHASE2,62,"Gemini Therapeutics, Inc.",INDUSTRY,Dry Age-related Macular Degeneration|Geographic Atrophy|Macular Degeneration|Retinal Disease|Retinal Degeneration,GEM103,2026-09-07,False,False
NCT05056194,Valiloxybate (XW10172 MR) Efficacy and Safety Parkinson's Disease Study,WITHDRAWN,2021-11-01,Sponsor decision,PHASE2,0,XWPharma,INDUSTRY,Parkinson Disease|Excessive Daytime Somnolence,Valiloxybate|Placebo,2026-09-07,False,False
NCT05867056,Study of IMC-I109V in Non-cirrhotic HBeAg-negative Chronic HBV Infection,WITHDRAWN,2020-08-12,Enrollment into the phase 2 portion was never initiated.,PHASE1,0,Immunocore Ltd,INDUSTRY,"Hepatitis B, Chronic",IMC-I109V Single Ascending Dose|IMC-I109V Multiple Ascending Doses|HBV HCC Module MAD,2026-09-07,False,False
NCT05387239,Safety and Effectiveness of VL-PX10 + VL-P22 Treatment on Pulmonary Fibrosis Secondary to Covid-19,SUSPENDED,2022-11-30,Sponsor request,PHASE2,20,"Vitti Labs, LLC",INDUSTRY,Pulmonary Fibrosis|COVID-19 Respiratory Infection,VL-PX10 and VL-P22 plus standard care|Placebo,2026-09-07,False,False
NCT04770467,"A Safety and Efficacy Study of Human Monoclonal Antibodies, BRII-196 and BRII-198 for the Treatment of Patients With COVID-19",WITHDRAWN,2021-02,The study will no longer move forward due to recent changes in COVID-19 cases in Hong Kong.,PHASE2,0,"Brii Biosciences, Inc.",INDUSTRY,COVID-19,BRII-196 and BRII-198|Placebo,2026-09-07,False,False
NCT05496192,A Study of Nivolumab Intravenous (IV) to Subcutaneous (SC) Switch in Adjuvant Melanoma and Bladder Cancer,WITHDRAWN,2023-05-31,Replaced it with another clinical trial,PHASE2,0,Bristol-Myers Squibb,INDUSTRY,Melanoma|Urothelial Carcinoma,Nivolumab/rHuPH20|Nivolumab,2026-09-07,False,False
NCT02648711,"Alternative Dosing for CRLX101(NLG207) Alone, With Avastin and With mFOLFOX6 in Advanced Solid Tumors",TERMINATED,2015-10,Company decision,PHASE1,41,NewLink Genetics Corporation,INDUSTRY,Solid Tumors,CRLX101|Bevacizumab|mFOLFOX6,2026-09-07,False,False
NCT04088734,Gene Transfer Study of ABO-102 in Patients With Middle and Advanced Phases of MPS IIIA Disease,TERMINATED,2019-09-18,Terminated due to lack of efficacy seen in patients with advanced MPS IIIA disease. The patients will be followed up annually for safety until five years post dosing,PHASE1|PHASE2,5,Ultragenyx Pharmaceutical Inc,INDUSTRY,MPS IIIA|Sanfilippo Syndrome|Sanfilippo A|Mucopolysaccharidosis III,ABO-102,2026-09-07,False,False
NCT02426411,Dose Ranging Trial to Determine the Safety and Efficacy of EMA401 in Patients With PHN,WITHDRAWN,2015-06,,PHASE2,0,Spinifex Pharmaceuticals Pty Ltd,INDUSTRY,"Neuralgia, Postherpetic",EMA401 200 mg|EMA401 600 mg|Placebo,2026-09-07,False,False
NCT07381530,Study of Cardioplegia in Cardiac Surgery Due to Congenital Heart Malformation in Children,SUSPENDED,2024-12-05,Sponsor Decision,PHASE2,100,Dr. F. Köhler Chemie GmbH,INDUSTRY,Congenital Heart Malformations,heart will be treated with Custodiol-N|heart will be treated with Custodiol,2026-09-07,False,False
NCT03253471,A First in Human Study of AL-611 in Healthy Volunteers and Patients With Hepatitis C Virus Infection,TERMINATED,2017-07-07,Strategic decision to discontinue further development of investigational compounds for the treatment of hepatitis C.,PHASE1,24,Alios Biopharma Inc.,INDUSTRY,Hepatitis C,AL-611|Placebo,2026-09-07,False,False
NCT04880109,A Phase 2 Study of APX-115 in Hospitalized Patients With Confirmed Mild to Moderate COVID-19.,TERMINATED,2021-10-20,Enrollment Challenges,PHASE2,16,"Aptabio Therapeutics, Inc.",INDUSTRY,COVID-19,APX-115|Placebo,2026-09-07,False,False
NCT03295266,Single-Dose Pharmacokinetics of MK-3866 in Participants With Hepatic Impairment (MK-3866-006),TERMINATED,2017-12-19,Business and program changes,PHASE1,9,Merck Sharp & Dohme LLC,INDUSTRY,Hepatic Insufficiency|Antibacterial Agents,MK-3866,2026-09-07,False,False
NCT02936102,A Study of FAZ053 Single Agent and in Combination With PDR001 in Patients With Advanced Malignancies.,TERMINATED,2016-10-20,The early termination was based on a business decision that FAZ053 would no longer be formulated and was not a consequence of any safety concern.,PHASE1,154,Novartis Pharmaceuticals,INDUSTRY,Advanced Solid Tumors|Triple Negative Breast Cancer|Chordoma and Alveolar Soft Part Sarcoma,FAZ053|PDR001,2026-09-07,False,False
NCT05141357,A Study of HBI-8000 (Tucidinostat) With Pembrolizumab in Non-Small Cell Lung Cancer,TERMINATED,2022-02-15,Slow Recruitment,PHASE2,5,"HUYABIO International, LLC.",INDUSTRY,Non Small Cell Lung Cancer,HBI-8000 in combination with pembrolizumab,2026-09-07,False,False
NCT02460081,Hemodynamic Effects of Intramuscular PDA-002 in Subjects Who Have Diabetic Foot Ulcer With Peripheral Arterial Disease,WITHDRAWN,2015-06,"The study was withdrawn prior to enrollment. Four subjects were screened but did not meet eligibility criteria; therefore, no subjects were enrolled. The study was not pursued further for administrative reasons.",PHASE2,0,Celularity Incorporated,INDUSTRY,Diabetic Foot|Peripheral Arterial Disease,PDA-002|Placebo,2026-09-07,False,False
NCT03444753,An Investigational Immunotherapy Study of BMS-986299 Alone and in Combination With Nivolumab and Ipilimumab in Participants With Solid Cancers That Have Spread or Cannot be Removed,TERMINATED,2018-04-05,business objectives have changed,PHASE1,82,Bristol-Myers Squibb,INDUSTRY,Advanced Cancer,BMS-986299|Nivolumab|Ipilimumab,2026-09-07,False,False
NCT06961266,"A Study to Investigate Efficacy, Safety, Tolerability, and Pharmacokinetics of JZP441 Compared With Placebo in Participants With Narcolepsy Type 1",TERMINATED,2025-05-13,The study was terminated based on a business decision by the Sponsor.,PHASE1,6,Jazz Pharmaceuticals,INDUSTRY,Narcolepsy,JZP441|Matching Placebo,2026-09-07,False,False
NCT04723537,"Upamostat, a Serine Protease Inhibitor, or Placebo for Treatment of COVID-19 Disease",TERMINATED,2021-02-16,Part A complete; corporate decision made to cancel Part B.,PHASE2|PHASE3,61,RedHill Biopharma Limited,INDUSTRY,Covid19,Part A: Upamostat 200 mg|Part A: Upamostat 400 mg|Part A and B: Placebo|Part B: Upamostat 200 or 400 mg,2026-09-07,False,False
NCT05234437,A Trial of Intratumoural Tigilanol Tiglate in Adult Participants With Stage IIIB to IV M1c Melanoma,TERMINATED,2022-03-09,Insufficient Patient Recruitment Rates,PHASE2,1,QBiotics Group Limited,INDUSTRY,Melanoma,tigilanol tiglate,2026-09-07,False,False
NCT03786081,Safety and Efficacy of Tisotumab Vedotin Monotherapy & in Combination With Other Cancer Agents in Subjects With Cervical Cancer,TERMINATED,2019-02-27,Sponsor has decided to stop the trial based on strategic decisions,PHASE1|PHASE2,214,"Seagen, a wholly owned subsidiary of Pfizer",INDUSTRY,Cervical Cancer,Tisotumab Vedotin|Bevacizumab|Pembrolizumab|Carboplatin,2026-09-07,False,False
NCT05555251,BI-1607 in Combination with Trastuzumab in Subjects with HER2-positive Advanced Solid Tumors,TERMINATED,2022-07-28,"After the completion of phase IA, for business reasons it was decided to terminate the study.",PHASE1|PHASE2,18,BioInvent International AB,INDUSTRY,HER2-positive Breast Cancer|HER2-positive Gastric Cancer|HER2-positive Metastatic Breast Cancer|Metastatic Gastroesophageal Junction Adenocarcinoma|Metastatic Gastric Adenocarcinoma,BI-1607|BI-1607|Trastuzumab,2026-09-07,False,False
NCT04622072,XZP-5809-TT1 Tablets in Patients With T790M Mutation-positive Locally Advanced or Metastatic Non-small Cell Lung Cancer,TERMINATED,2020-11-02,Strategic considerations,PHASE1,21,Sihuan Pharmaceutical Holdings Group Ltd.,INDUSTRY,Non Small Cell Lung Cancer,XZP-5809-TT1 Tablet,2026-09-07,True,False
NCT04905212,A Study of Telitacicept for Injection (RC18) in Subjects With IgA Nephropathy,TERMINATED,2021-11-04,Decision that continuing with the study would not generate useful data,PHASE2,15,"RemeGen Co., Ltd.",INDUSTRY,IgA Nephropathy,Telitacicept 160mg|Telitacicept 240mg|Placebo,2026-09-07,False,False
NCT05351554,"A Study to Assess the Safety, Tolerability, and Efficacy of Namilumab in Participants With Active Cardiac Sarcoidosis",TERMINATED,2022-08-23,Sponsor business decision not related to safety,PHASE2,1,Kinevant Sciences GmbH,INDUSTRY,"Sarcoidosis, Cardiac",Namilumab,2026-09-07,False,False
NCT06304636,Descartes-15 for Patients With Relapsed/Refractory Multiple Myeloma,TERMINATED,2024-06-19,Phase 1 enrollment completed. Further clinical development terminated,PHASE1,4,Cartesian Therapeutics,INDUSTRY,Refractory Multiple Myeloma|Relapsed Multiple Myeloma,Descartes-15,2026-09-07,True,True
NCT06215144,Study to Evaluate NRCT-101SR in Pediatric Subjects With ADHD,TERMINATED,2024-01-25,Slow enrollment,PHASE2|PHASE3,95,"Neurocentria, Inc.",INDUSTRY,Attention-Deficit/Hyperactivity Disorder (ADHD),NRCT-101SR,2026-09-07,False,False
NCT05082493,"A Multicenter, Study of the Safety and Pharmacokinetics of Intravenously Infused Berubicin in Pediatric Patients With Progressive, Refractory, or Recurrent High Grade Gliomas",WITHDRAWN,2023-12,Business decision,PHASE1,0,WPD Pharmaceuticals Sp. z o.o.,INDUSTRY,High Grade Glioma,Berubicin Hydrochloride,2026-09-07,False,False
NCT02817347,A Clinical Trial of YH1177 in Patients With Otitis Media and Otorrhea,TERMINATED,2016-06,Sponsor's decision for the Drug Development.,PHASE1|PHASE2,135,Yuhan Corporation,INDUSTRY,Otitis Media|Otorrhea,piperacillin 4% + tazobactam 0.5% + dexamethasone 0.1%|piperacillin 8% + tazobactam 1.0% + dexamethasone 0.1%|piperacillin 2% + tazobactam 0.25%|piperacillin 4% + tazobactam 0.5%|piperacillin 8% + tazobactam 1.0%,2026-09-07,False,False
NCT05375084,SHP2 Inhibitor BBP-398 in Combination With Nivolumab in Patients With Advanced Non-Small Cell Lung Cancer With a KRAS Mutation,TERMINATED,2022-10-20,Business reasons,PHASE1,21,"Navire Pharma Inc., a BridgeBio company",INDUSTRY,Non Small Cell Lung Cancer|Solid Tumor,BBP-398 with nivolumab,2026-09-07,False,False
